date,hv,IV_K3.3,IV_K3.2,IV_K3.4,IV_K3.1
2025-07-28,0.15298110711074958,,,,
2025-07-29,0.15608476804356142,,,,
2025-07-30,0.16446993160181939,,,,
2025-07-31,0.17854570719423699,,,,
2025-08-01,0.17685940969889,,,,
2025-08-04,0.16859299818082543,,,,
2025-08-05,0.15477399890852253,,,,
2025-08-06,0.1550355449517592,,,,
2025-08-07,0.15940769295659804,,,,
2025-08-08,0.1603844276120843,,,,
2025-08-11,0.16813878627545076,,,,
2025-08-12,0.1650039226934224,,,,
2025-08-13,0.19754402643460378,,,,
2025-08-14,0.19989075226738584,,,,
2025-08-15,0.21265407499078318,,,,
2025-08-18,0.2270401208350113,,,,
2025-08-19,0.2291898724567199,,,,
2025-08-20,0.2279016913176543,,,,
2025-08-21,0.22849832709060844,,,,
2025-08-22,0.24771222396687276,,,,
2025-08-25,0.25789648245733204,,,,
2025-08-26,0.26074549287009846,,,,
2025-08-27,0.25286759776546286,,,,
2025-08-28,0.25889518071684825,,,,
2025-08-29,0.25930175269687394,,,,0.3454774615218875
2025-09-01,0.2605653661280844,0.3420671427375089,0.34360721145263684,,0.3462739185839125
2025-09-02,0.29264873664558055,0.3769342906597236,0.3626435937795578,,0.3499423516189917
2025-09-03,0.29254290985173087,0.3544804892180313,0.3558688034003914,,0.3399648485499266
2025-09-04,0.3405748058312331,0.35602251216632685,0.33130785370498284,,0.3488317501516268
2025-09-05,0.3940440678381474,0.37641314323296293,0.3700065902444499,,0.3608023599393513
2025-09-08,0.40185016681719116,0.3788157299925267,0.36328897183775843,,0.3605371931608379
2025-09-09,0.41710693177892383,0.368168882888829,0.35924023126504,,0.35669848084194494
2025-09-10,0.4051248886089459,0.35282252695322414,0.3561720267187093,,0.347357095682151
2025-09-11,0.42550462269426914,0.3730167731510614,0.3644903549382535,0.370473962446913,0.3532278019977827
2025-09-12,0.4276023429694386,0.37512065635502717,0.3597066038355753,0.382274904753245,0.36110896824377353
2025-09-15,0.4219925173772243,0.37166376715407423,0.36360883503246205,0.38181242872452914,0.35605943802025886
2025-09-16,0.42017594350412546,0.38159411451006764,0.3732047274410608,0.3933540802669109,0.3653253810556427
2025-09-17,0.42157954695238786,0.39977478928349797,0.3902458422615811,0.40682481763789313,0.3791345155197949
2025-09-18,0.42805432504878455,0.3874577882218029,0.37407304170714883,0.39859052619650537,0.3697372077464468
2025-09-19,0.41896431232969594,0.3792078534884198,0.3704231897518001,0.3886291890626679,0.3686280499628142
2025-09-22,0.41207459893400256,0.3944916454240843,0.3822217159107505,0.4017783675993152,0.37318796374089325
2025-09-23,0.40921013449056265,0.3856358457834781,0.39276298578786173,0.4142285347332115,0.3661618441572587
2025-09-24,0.40903274515864685,0.3791921525202552,0.37013923588792486,0.38850767167996997,0.36259017421604445
2025-09-25,0.3934753471072037,0.367815928819063,0.3561431944098211,0.37383769081134627,0.35976563148299534
2025-09-26,0.40540830332629463,0.38741936285324474,0.3790455995025361,0.3931279769378656,0.3715895358605164
2025-09-29,0.4084635253314876,0.37494049487163306,0.36832753448849764,0.3802730020018582,0.36025374354017337
2025-09-30,0.39185920743622477,0.3714971516395142,0.36573651754212866,0.37845827792974596,0.36037960908909067
2025-10-09,0.39181848774460054,0.35618045257044106,0.35418227206834196,0.3671446539678823,0.34923104712012815
2025-10-10,0.39480488454044527,0.3648182733528884,0.3619275849285917,0.38017168391371786,0.3477555584518861
2025-10-13,0.32875762556923804,0.37225633239409983,0.37772070795278634,0.40335448426635667,0.36490808053819923
2025-10-14,0.356676796580366,0.3933238797400408,0.39057319020403725,0.3997796298122148,0.3773315972801078
2025-10-15,0.35523459360401194,0.38294400421337327,0.37984339592132954,0.4117007872697486,0.36837252347384364
2025-10-16,0.35413217793912405,0.3735018887482219,0.3722631373356835,0.3779105562497257,0.35931654647633715
2025-10-17,0.32773980432227967,0.381339429049777,0.376103918510721,0.3966635275167055,0.3647653322509534
2025-10-20,0.3339876035918151,0.36432985838221205,0.35001841504131004,0.3848479504608261,0.3505281427144259
2025-10-21,0.34723373940479374,0.3525449091178654,0.3479576650092271,0.36233411019868794,0.3381085354761672
2025-10-22,0.3473418503182931,0.3441305460834726,0.3382422519165468,0.3606669435660483,0.32589327442264887
2025-10-23,0.3398302190612381,0.3354570265565487,0.33596547464134907,0.36970735168807195,0.32344623190667093
2025-10-24,0.3572086100485605,0.33230537857316056,0.32363630934137444,0.34008456986975333,0.3140971520736557
2025-10-27,0.3624815618599749,0.32944597990599234,0.32161598742164377,0.3370861546771834,0.31226716843931596
2025-10-28,0.36235183882310823,0.3264196497857995,0.3186331821767683,0.33184201655927437,0.3108856247815132
2025-10-29,0.3744472919375888,0.3257650451768047,0.317153149599287,0.334406909848751,0.3088697265647062
2025-10-30,0.3755928101203613,0.3358913413014859,0.328471760500499,0.34476504202438973,0.3218787239673846
2025-10-31,0.3803239516643555,0.34097707469427563,0.33391548428170204,0.34985562412947524,0.32828181445928695
2025-11-03,0.36922231261502586,0.34419428312127204,0.3340228308901824,0.35030181690919254,0.32740296772723143
2025-11-04,0.3635948582262638,0.3435165835658887,0.3393729000656086,0.35317217791747885,0.3299634372689657
2025-11-05,0.3655592545952592,0.34117438633679487,0.33597797234515014,0.3492586619389765,0.3279463598123288
2025-11-06,0.37132517450145713,0.33049680890371286,0.32038750144230155,0.33805892692795037,0.3137021427997616
2025-11-07,0.33628839369979596,0.32625986220884085,0.31690064350853375,0.3332264849940901,0.30926129336329294
2025-11-10,0.33402617620880043,0.32902545534931077,0.3188195420312629,0.33303893548983177,0.31042749501132016
2025-11-11,0.30400586186295886,0.33223633994065216,0.3228235735539082,0.31689676659997135,0.31720175723880667
2025-11-12,0.2951427032065474,0.33623203730074114,0.32249032150835444,0.3471139156381077,0.318167902175643
2025-11-13,0.30464362310387944,0.3179555250803751,0.31183317500292645,0.32555875565910997,0.3044599510158656
2025-11-14,0.29754580419604176,0.32404464985015674,0.31441483537994563,0.3291951961628278,0.3090041120503855
2025-11-17,0.29225590576248467,0.31930255144746944,0.308375934446949,0.326796940433009,0.3025404612670308
2025-11-18,0.27617537300284545,0.32221757349860547,0.3137836112295397,0.3325552272153649,0.30536560172589944
2025-11-19,0.2749388468159121,0.314436237091574,0.30683470250142536,0.32271478416345567,0.2984131662148136
2025-11-20,0.277328444417961,0.3191374193491694,0.30799272830422897,0.32783327591357625,0.30104169255363417
2025-11-21,0.28024009286040846,0.3296468031356181,0.31997354460516153,0.33912826682894576,0.3105573396238228
2025-11-24,0.26780443774761753,0.32518281417137906,0.31553349401273084,0.32382876325602983,0.307440580046235
2025-11-25,0.2792334726466343,0.3072801107219304,0.2965528169896182,0.31692861087254437,0.28861995764959025
2025-11-26,0.26943743779289453,0.30548506026953,0.2948261214591842,0.31436376578383324,0.2828934690342273
2025-11-27,0.26437221176129083,0.3062508717714206,0.29533695183753345,0.3186231729639848,0.28391295361492286
2025-11-28,0.25744011612188367,0.3046997348341897,0.2907802921467615,0.3135192917821913,0.2806864792424094
2025-12-01,0.26180362249231165,0.2999621629476018,0.28870737153554415,0.3191035730556781,0.2755125182263843
2025-12-02,0.25368891158559703,0.2996957330862656,0.29033344273050166,0.31372720369242496,0.27843528313391297
2025-12-03,0.25282722532868107,0.30527621407728345,0.2959492312300367,0.3163747673337049,0.28276011439841997
2025-12-04,0.24599804793308191,0.29582855242089284,0.2849281753086137,0.3076078456822785,0.27591667105439904
2025-12-05,0.2509785236032544,0.2918208662799472,0.2795497450556387,0.3026185069916146,0.2686079159489398
2025-12-08,0.2670305843680309,0.28941361892694,0.2756540534099807,0.30058556851047147,0.2670647979029748
2025-12-09,0.2621521576700341,0.28639573683110037,0.2726165563601109,0.29751109004693105,0.2602552425230539
2025-12-10,0.26195422803247664,0.2870191174858569,0.27408348148051087,0.29775279865375937,0.26119053249769913
2025-12-11,0.25429321931939797,0.2933180981425345,0.2832038831636377,0.2874500387133767,0.2715406750700455
2025-12-12,0.2348931328504212,0.2914273149981937,0.28009934540829345,0.297330904391352,0.2683550154506532
2025-12-15,0.24313382094544694,0.29592005887153516,0.28665519469808864,0.30628804681302024,0.2765540824785844
2025-12-16,0.24997230997171713,0.30458552370882963,0.29672518264640485,0.31219030902294687,0.2880473608681558
2025-12-17,0.2752672027486243,0.2950781461260103,0.28410789602644987,0.30847714839881996,0.27153024706283496
2025-12-18,0.28564278011065714,0.30290213658442666,0.293229882037021,0.3081546437516241,0.28439345216077266
2025-12-19,0.24076014831520712,0.3036074145847439,0.28979731005688525,0.3124558794569119,0.27898137076125484
2025-12-22,0.24872178329383574,0.2868264066160121,0.27249488965589264,0.2936973341524638,0.26305847125076365
2025-12-23,0.24369573976880612,0.2766408234010937,0.26588367316234707,0.2894443240270874,0.25349320354118743
2025-12-24,0.2351499444226787,0.2769473321598015,0.2670259212734426,0.28963088365952133,0.25568444336208174
2025-12-25,0.23336998316140534,0.27849784187502674,0.26692913966461396,0.2858962965314426,0.2521505383035118
2025-12-26,0.23295260496128914,0.2838777043147945,0.27122551002571416,0.29510610497732925,0.2564786338292562
2025-12-29,0.23256358471891084,0.29336426138109184,0.2802162135004531,0.31485265905348225,0.26528711665097116
2025-12-30,0.23088259044037612,0.2890254658496405,0.27797189300390673,0.30268331417213,0.26611217883900123
2025-12-31,0.23293384867394668,0.28592497202356715,0.28948446422956897,0.3033631259958549,0.26915567003774854
2026-01-05,0.24946645905698886,0.277567608705512,0.27347813194424503,0.29296501742437586,0.2613731155403404
2026-01-06,0.2477232970873486,0.29101016533335067,0.28312197386222215,0.3006332868885522,0.27292046396065567
2026-01-07,0.2333291424102075,0.2896707756192076,0.28185902284613806,0.29757794591458153,0.27230872802556494
2026-01-08,0.23523573538235162,0.29339165619040053,0.28501343567687765,0.30561719911474716,0.2756642525229519
2026-01-09,0.23635171500301455,0.30133477338532416,0.2919741978082946,0.3111620437173369,0.2835939110100239
2026-01-12,0.23399078175092647,0.3462233215463791,0.3390762910378009,0.3610347456525227,0.3187077872082929
2026-01-13,0.24596596686131045,0.3323552905573319,0.3169275300984249,0.344744153194693,0.303515314360545
2026-01-14,0.2364015062709687,0.31737570207488414,0.3050116674580887,0.32930601389439307,0.29279343791376056
2026-01-15,0.22152938028060784,0.30871708920370056,0.3008307199626732,0.31699997119969414,0.2931839463083722
2026-01-16,0.1957133888568782,0.3044831081518673,0.2988436802384663,0.3119292290472885,0.28734454055816877
2026-01-19,0.17706667637091536,0.2823454152568762,0.2745614899523703,0.29036724256345653,0.2691733320959341
2026-01-20,0.19026588491506768,0.27235411081869976,0.26618064010425524,0.2822853634618777,0.2587914488040744
2026-01-21,0.17750785777976844,0.2733254045665727,0.266032173585677,0.2850248674319887,0.2609642337609456
2026-01-22,0.17998554700151467,0.2743100378718494,0.2655452196974504,0.28697321083513183,0.25923277597734334
2026-01-23,0.1792713112822245,0.28635592119411113,0.27599561133185335,0.29524552563718043,0.2669159909747279
2026-01-26,0.1835676015756516,0.29520273113600115,0.28773119801472513,0.30395332844338224,0.28476533118044123
2026-01-27,0.1845022942592186,0.28486406423626576,0.27645077028149384,0.2964363682331002,0.27196296844128215
2026-01-28,0.18423388485913125,0.28472483215108846,0.2786125358000169,0.2952124718716317,0.27432370690142405
2026-01-29,0.18407712602551596,0.29073051711071835,0.28278939683015625,0.2972831536760671,0.2799921858648228
2026-01-30,0.18072330992220403,0.2870201432286835,0.2829089100329004,0.2933225826167459,0.28568183534162883
2026-02-02,0.17621812468329087,0.32293046339395126,0.3224904022021823,0.32410103936354484,0.32770935696328984
2026-02-03,0.1867767793858267,0.2932059976800794,0.290412418805453,0.2984198556620434,0.2934268224801496
2026-02-04,0.18735415267464225,0.2812192369130808,0.28228491425222674,0.28419125037044696,0.28655485952201254
2026-02-05,0.19599046335771872,0.27971673941572595,0.2816079141431982,0.2811274747705226,0.28526130785870235
2026-02-06,0.19334795265431945,0.27682173657196363,0.2758694226964414,0.27965768635474253,0.27968072924202464
2026-02-09,0.20963818811264467,0.2694127282479043,0.27017956536872045,0.27605023663620126,0.2712444858498415
2026-02-10,0.19855822877951743,0.2605981540756854,0.2585836435817355,0.26730266306029915,0.2571229113205732
2026-02-11,0.20032824789455422,0.25715096950065286,0.2576832553857348,0.26213744518113447,0.2567569074662356
2026-02-12,0.20560608665378746,0.25367137327773126,0.25332795251736406,0.25794117453271725,0.2554387925001045
2026-02-13,0.21285488829220262,0.26580391795835534,0.2670402309096078,0.27465892561769834,0.2719547425196637
2026-02-24,0.21405455976131207,0.23574865251469646,0.2366609776001175,0.241008071465943,0.24106765213349107
