date,cash_eod,option_mv_eod,etf_mv_eod,equity_eod,realized_pnl_cum,unrealized_pnl_eod,daily_pnl,total_pnl_cum,drawdown,equity_curve,daily_return,cum_return,drawdown_pct,rolling_sharpe_60d,benchmark_price,benchmark_shares,benchmark_cash,benchmark_equity,benchmark_return,benchmark_daily_return,excess_equity,excess_return,excess_daily_return
2025-02-14,11336.0,-416.00000000000006,0.0,10920.0,11336.0,-416.00000000000006,104.0,10920.0,0.0,1010920.0,0.000104,0.01092,0.0,1.897709653343719,2.174,495294,1.4139999999897555,1076770.5699999998,0.07677056999999987,0.01826695449658966,-65850.56999999983,-0.06585056999999987,-0.01816295449658966
2025-02-17,11336.0,-312.0,0.0,11024.0,11336.0,-312.0,104.0,11024.0,0.0,1011024.0,0.000104,0.011024,0.0,1.8796893161661374,2.182,495294,1.4139999999897555,1080732.9219999998,0.08073292199999971,0.0036798479735566936,-69708.92199999979,-0.0697089219999997,-0.0035758479735566936
2025-02-18,11336.0,-312.0,0.0,11024.0,11336.0,-312.0,0.0,11024.0,0.0,1011024.0,0.0,0.011024,0.0,1.8453563005240932,2.14,495294,1.4139999999897555,1059930.574,0.059930574000000014,-0.019248370782952606,-48906.57400000002,-0.048906574000000015,0.019248370782952606
2025-02-19,11336.0,-260.0,0.0,11076.0,11336.0,-260.0,52.0,11076.0,0.0,1011076.0,5.2e-05,0.011076,0.0,1.8214941576462014,2.185,495294,1.4139999999897555,1082218.804,0.08221880400000003,0.02102800933073179,-71142.804,-0.07114280400000003,-0.02097600933073179
2025-02-20,11336.0,-104.00000000000001,0.0,11232.0,11336.0,-104.00000000000001,156.0,11232.0,0.0,1011232.0,0.000156,0.011232,0.0,1.8159628363669136,2.184,495294,1.4139999999897555,1081723.5100000002,0.08172351000000022,-0.00045766530591517807,-70491.51000000024,-0.07049151000000022,0.0006136653059151781
2025-02-21,11336.0,-52.00000000000001,0.0,11284.0,11336.0,-52.00000000000001,52.0,11284.0,0.0,1011284.0,5.2e-05,0.011284,0.0,1.7944227187801358,2.239,495294,1.4139999999897555,1108964.6799999997,0.1089646799999997,0.02518311726441036,-97680.6799999997,-0.0976806799999997,-0.02513111726441036
2025-02-24,11336.0,-52.00000000000001,0.0,11284.0,11336.0,-52.00000000000001,0.0,11284.0,0.0,1011284.0,0.0,0.011284,0.0,1.7658098186304054,2.221,495294,1.4139999999897555,1100049.3879999998,0.10004938799999974,-0.008039293009764692,-88765.3879999998,-0.08876538799999974,0.008039293009764692
2025-02-25,11336.0,-52.00000000000001,0.0,11284.0,11336.0,-52.00000000000001,0.0,11284.0,0.0,1011284.0,0.0,0.011284,0.0,1.7385234077474543,2.197,495294,1.4139999999897555,1088162.332,0.08816233200000001,-0.01080592937887248,-76878.33199999994,-0.07687833200000001,0.01080592937887248
2025-02-26,11336.0,0.0,0.0,11336.0,11336.0,0.0,52.0,11336.0,0.0,1011336.0,5.2e-05,0.011336,0.0,1.7204408502794466,2.223,495294,1.4139999999897555,1101039.9759999998,0.10103997599999981,0.011834304148657049,-89703.97599999979,-0.08970397599999981,-0.011782304148657049
2025-02-27,14586.0,-3050.0,0.0,11536.0,14586.0,-3050.0,200.0,11536.0,0.0,1011536.0,0.0002,0.011536,0.0,1.7255554703715614,2.212,495294,1.4139999999897555,1095591.742,0.09559174200000009,-0.004948261751396843,-84055.74200000009,-0.08405574200000009,0.005148261751396843
