date,cash_eod,option_mv_eod,etf_mv_eod,equity_eod,realized_pnl_cum,unrealized_pnl_eod,daily_pnl,total_pnl_cum,drawdown,equity_curve,daily_return,cum_return,drawdown_pct,rolling_sharpe_60d,benchmark_price,benchmark_shares,benchmark_cash,benchmark_equity,benchmark_return,benchmark_daily_return,excess_equity,excess_return,excess_daily_return
2023-01-03,500.0,-250.0,0.0,250.0,500.0,-250.0,250.0,250.0,0.0,1000250.0,0.00025,0.00025,0.0,0.0,2.289,436871,2.280999999959022,1000000.0,0.0,0.0,250.0,0.00025,0.00025
2023-01-04,500.0,-250.0,0.0,250.0,500.0,-250.0,0.0,250.0,0.0,1000250.0,0.0,0.00025,0.0,0.0,2.267,436871,2.280999999959022,990388.8379999999,-0.009611162000000117,-0.009611162000000117,9861.162000000128,0.009861162000000118,0.009611162000000117
2023-01-05,500.0,-150.0,0.0,350.0,500.0,-150.0,100.0,350.0,0.0,1000350.0,0.0001,0.00035,0.0,0.0,2.33,436871,2.280999999959022,1017911.711,0.017911710999999997,0.027789966873596805,-17561.71100000001,-0.017561710999999997,-0.027689966873596806
2023-01-06,500.0,-150.0,0.0,350.0,500.0,-150.0,0.0,350.0,0.0,1000350.0,0.0,0.00035,0.0,0.0,2.35,436871,2.280999999959022,1026649.131,0.026649131000000104,0.008583671752254718,-26299.131000000052,-0.026299131000000104,-0.008583671752254718
2023-01-09,500.0,-200.0,0.0,300.0,500.0,-200.0,-50.0,300.0,-50.0,1000300.0,-5e-05,0.0003,-5e-05,0.0,2.365,436871,2.280999999959022,1033202.196,0.03320219599999996,0.006382964541758351,-32902.195999999996,-0.03290219599999996,-0.006432964541758351
2023-01-10,500.0,-150.0,0.0,350.0,500.0,-150.0,50.0,350.0,0.0,1000350.0,5e-05,0.00035,0.0,0.0,2.401,436871,2.280999999959022,1048929.552,0.04892955199999993,0.015221953709436242,-48579.55199999991,-0.04857955199999993,-0.015171953709436243
2023-01-11,500.0,-150.0,0.0,350.0,500.0,-150.0,0.0,350.0,0.0,1000350.0,0.0,0.00035,0.0,0.0,2.374,436871,2.280999999959022,1037134.035,0.03713403500000001,-0.011245289998274233,-36784.03500000003,-0.03678403500000001,0.011245289998274233
2023-01-12,500.0,-100.0,0.0,400.0,500.0,-100.0,50.0,400.0,0.0,1000400.0,5e-05,0.0004,0.0,0.0,2.382,436871,2.280999999959022,1040629.003,0.04062900300000005,0.0033698325212130342,-40229.003000000026,-0.040229003000000055,-0.003319832521213034
2023-01-13,500.0,-100.0,0.0,400.0,500.0,-100.0,0.0,400.0,0.0,1000400.0,0.0,0.0004,0.0,0.0,2.417,436871,2.280999999959022,1055919.488,0.055919487999999795,0.014693502637269651,-55519.487999999896,-0.0555194879999998,-0.014693502637269651
2023-01-16,500.0,-50.0,0.0,450.0,500.0,-50.0,50.0,450.0,0.0,1000450.0,5e-05,0.00045,0.0,0.0,2.462,436871,2.280999999959022,1075578.683,0.07557868300000004,0.018618081419480514,-75128.68299999996,-0.07512868300000003,-0.018568081419480513
2023-01-17,500.0,-50.0,0.0,450.0,500.0,-50.0,0.0,450.0,0.0,1000450.0,0.0,0.00045,0.0,0.0,2.47,436871,2.280999999959022,1079073.651,0.07907365100000008,0.0032493838481921777,-78623.65100000007,-0.07862365100000007,-0.0032493838481921777
2023-01-18,500.0,-50.0,0.0,450.0,500.0,-50.0,0.0,450.0,0.0,1000450.0,0.0,0.00045,0.0,0.0,2.468,436871,2.280999999959022,1078199.909,0.07819990900000007,-0.000809714887570756,-77749.90899999999,-0.07774990900000006,0.000809714887570756
2023-01-19,500.0,-50.0,0.0,450.0,500.0,-50.0,0.0,450.0,0.0,1000450.0,0.0,0.00045,0.0,0.0,2.496,436871,2.280999999959022,1090432.297,0.090432297,0.011345194799121439,-89982.29700000002,-0.08998229699999999,-0.011345194799121439
2023-01-20,500.0,-50.0,0.0,450.0,500.0,-50.0,0.0,450.0,0.0,1000450.0,0.0,0.00045,0.0,0.0,2.507,436871,2.280999999959022,1095237.878,0.09523787800000005,0.004407042063245159,-94787.87800000003,-0.09478787800000005,-0.004407042063245159
2023-01-30,500.0,0.0,0.0,500.0,500.0,0.0,50.0,500.0,0.0,1000500.0,5e-05,0.0005,0.0,0.0,2.533,436871,2.280999999959022,1106596.524,0.10659652399999997,0.010370939709227311,-106096.52399999998,-0.10609652399999997,-0.010320939709227312
2023-01-31,950.0,-450.0,0.0,500.0,950.0,-450.0,0.0,500.0,0.0,1000500.0,0.0,0.0005,0.0,0.0,2.507,436871,2.280999999959022,1095237.878,0.09523787800000005,-0.010264487329981864,-94737.87800000003,-0.09473787800000005,0.010264487329981864
2023-02-01,950.0,-269.99999999999994,0.0,680.0,950.0,-269.99999999999994,180.0,680.0,0.0,1000680.0,0.00018,0.00068,0.0,0.0,2.537,436871,2.280999999959022,1108344.008,0.10834400799999999,0.011966468895262095,-107664.00799999991,-0.10766400799999999,-0.011786468895262095
2023-02-02,950.0,-269.99999999999994,0.0,680.0,950.0,-269.99999999999994,0.0,680.0,0.0,1000680.0,0.0,0.00068,0.0,0.0,2.524,436871,2.280999999959022,1102664.685,0.10266468500000014,-0.005124151850875447,-101984.68500000006,-0.10198468500000014,0.005124151850875447
2023-02-03,950.0,-360.00000000000006,0.0,590.0,950.0,-360.00000000000006,-90.0,590.0,-90.0,1000590.0,-9e-05,0.00059,-9e-05,0.0,2.5,436871,2.280999999959022,1092179.781,0.09217978100000002,-0.009508696653325877,-91589.78099999996,-0.09158978100000002,0.009418696653325877
2023-02-06,950.0,-450.0,0.0,500.0,950.0,-450.0,-90.0,500.0,-180.0,1000500.0,-9e-05,0.0005,-0.00018,5.100153006885345,2.468,436871,2.280999999959022,1078199.909,0.07819990900000007,-0.012799973267404785,-77699.90899999999,-0.07769990900000007,0.012709973267404785
2023-02-07,950.0,-405.0,0.0,545.0,950.0,-405.0,45.0,545.0,-135.0,1000545.0,4.5e-05,0.000545,-0.000135,5.416678149885962,2.461,436871,2.280999999959022,1075141.812,0.07514181199999981,-0.002836298699780415,-74596.81199999992,-0.0745968119999998,0.002881298699780415
2023-02-08,950.0,-315.0,0.0,635.0,950.0,-315.0,90.0,635.0,-45.0,1000635.0,9e-05,0.000635,-4.5e-05,6.069037073062686,2.447,436871,2.280999999959022,1069025.618,0.06902561799999996,-0.005688732343710479,-68390.61800000002,-0.06839061799999996,0.0057787323437104784
2023-02-09,950.0,-90.00000000000001,0.0,860.0,950.0,-90.00000000000001,225.0,860.0,0.0,1000860.0,0.000225,0.00086,0.0,7.06835103852271,2.493,436871,2.280999999959022,1089121.684,0.08912168399999998,0.018798488700015215,-88261.68399999989,-0.08826168399999998,-0.018573488700015215
